V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 1978 1 8 10199 32766 32766 2 52 -22 30 50 324 0 24 32766 28 47 14 66 4 79 
54823 1978 1 9 10286 32766 32766 -32 9 -58 14 28 317 0 26 32766 30 47 16 91 16 80 
54823 1978 1 10 10259 32766 32766 -12 41 -58 14 25 316 0 23 32766 38 87 10 161 10 80 
54823 1978 1 11 10156 32766 32766 43 86 18 22 27 322 0 76 32766 60 100 10 160 11 78 
54823 1978 1 12 10110 32766 32766 40 108 -15 39 51 325 0 31 32766 18 50 11 91 12 73 
54823 1978 1 13 10079 32766 32766 38 104 -14 52 66 349 0 21 32766 10 37 10 62 11 61 
54823 1978 1 14 10134 32766 32766 37 75 8 49 63 333 0 31 32766 48 67 3 93 3 50 
54823 1978 1 15 10291 32766 32766 -38 14 -59 11 23 312 0 31 32766 63 93 4 164 3 29 
54823 1978 1 16 10287 32766 32766 -57 -17 -84 12 30 315 0 13 32766 8 27 1 53 16 67 
54823 1978 1 17 10212 32766 32766 -35 19 -71 12 27 318 0 23 32766 33 63 12 109 12 73 
54823 1978 1 18 10168 32766 32766 -15 47 -63 14 25 321 0 26 32766 33 67 13 102 12 78 
54823 1978 1 19 10127 32766 32766 6 66 -48 17 31 310 0 39 32766 28 63 10 112 11 77 
54823 1978 1 20 10126 32766 32766 3 41 -22 14 22 313 0 59 32766 58 127 15 181 16 59 
54823 1978 1 21 10138 32766 32766 20 79 -20 13 18 312 0 39 32766 35 53 13 89 10 82 
54823 1978 1 22 10085 32766 32766 68 117 23 32 31 321 0 57 32766 33 80 11 137 12 82 
54823 1978 1 23 10111 32766 32766 34 75 -7 39 52 324 0 31 32766 45 67 4 96 3 11 
54823 1978 1 24 10153 32766 32766 20 87 -40 33 54 316 0 29 32766 33 47 903 65 3 83 
54823 1978 1 25 10085 32766 32766 49 104 -11 50 56 349 0 37 32766 35 77 10 145 10 57 
54823 1978 1 26 10106 32766 32766 65 117 34 29 32 310 0 60 32766 58 73 3 121 3 61 
54823 1978 1 27 10226 32766 32766 -17 60 -36 28 52 337 0 42 32766 70 93 4 156 5 47 
54823 1978 1 28 10229 32766 32766 -15 30 -53 23 44 326 0 15 32766 45 70 4 100 5 52 
54823 1978 1 29 10191 32766 32766 -1 31 -17 27 45 328 0 26 32766 43 70 13 118 10 79 
54823 1978 1 30 10243 32766 32766 -41 2 -82 10 23 312 0 28 32766 25 43 3 75 14 90 
54823 1978 1 31 10201 32766 32766 -12 41 -38 11 22 308 0 30 32766 43 67 1 155 15 78 
54823 1978 2 1 10228 32766 32766 -48 11 -94 9 22 311 0 17 32766 25 50 13 84 15 89 
54823 1978 2 2 10198 32766 32766 3 62 -39 12 21 312 0 33 32766 23 43 10 64 11 87 
54823 1978 2 3 10171 32766 32766 22 86 -59 22 33 318 0 49 32766 45 90 10 150 11 72 
54823 1978 2 4 10151 32766 32766 37 125 -26 35 45 330 0 30 32766 30 47 4 62 3 67 
54823 1978 2 5 10130 32766 32766 12 42 3 53 79 360 30008 18 32766 38 57 4 75 3 0 
54823 1978 2 6 10167 32766 32766 10 23 -4 62 95 391 0 8 32766 20 37 3 53 3 0 
54823 1978 2 7 10199 32766 32766 -5 17 -15 48 82 366 32700 13 32766 53 80 4 102 5 0 
54823 1978 2 8 10170 32766 32766 -7 17 -24 42 73 363 31001 15 32766 48 60 4 91 5 0 
54823 1978 2 9 10167 32766 32766 -33 5 -65 43 88 383 31073 65 32766 73 113 4 160 4 0 
54823 1978 2 10 10242 32766 32766 -65 -46 -85 27 73 361 31004 15 32766 28 43 4 64 3 57 
54823 1978 2 11 10252 32766 32766 -50 -22 -70 28 66 347 0 4 32766 13 50 5 66 5 11 
54823 1978 2 12 10228 32766 32766 -16 34 -54 27 52 322 0 16 32766 28 50 12 78 12 81 
54823 1978 2 13 10230 32766 32766 -9 29 -34 35 60 344 0 22 32766 40 100 4 140 5 83 
54823 1978 2 14 10299 32766 32766 -46 -8 -75 28 66 346 0 16 32766 53 60 4 84 5 87 
54823 1978 2 15 10298 32766 32766 -53 -22 -71 17 42 329 0 19 32766 20 50 4 63 4 74 
54823 1978 2 16 10264 32766 32766 -49 10 -92 18 46 320 0 18 32766 28 47 13 65 14 96 
54823 1978 2 17 10274 32766 32766 -43 -8 -81 16 36 317 0 26 32766 20 60 1 105 2 94 
54823 1978 2 18 10229 32766 32766 2 64 -49 20 30 323 0 47 32766 48 80 10 141 11 90 
54823 1978 2 19 10232 32766 32766 6 52 -45 23 36 319 0 39 32766 28 50 3 90 3 94 
54823 1978 2 20 10164 32766 32766 54 112 8 27 31 320 0 56 32766 30 57 10 99 11 94 
54823 1978 2 21 10177 32766 32766 62 139 0 36 41 317 0 53 32766 30 83 13 118 13 95 
54823 1978 2 22 10213 32766 32766 62 140 -4 34 40 318 0 63 32766 30 63 13 117 4 98 
54823 1978 2 23 10176 32766 32766 114 181 54 44 33 320 0 87 32766 30 47 14 63 14 97 
54823 1978 2 24 10177 32766 32766 88 150 38 45 40 330 0 64 32766 38 117 4 166 5 94 
54823 1978 2 25 10249 32766 32766 53 114 -7 28 32 321 0 65 32766 40 80 4 114 5 95 
54823 1978 2 26 10175 32766 32766 112 176 58 40 30 320 0 95 32766 40 70 10 140 11 92 
54823 1978 2 27 10061 32766 32766 90 150 23 53 47 332 0 100 32766 73 133 4 187 4 90 
54823 1978 2 28 10245 32766 32766 -24 24 -59 22 44 327 31023 41 32766 38 100 4 97 4 100 
54823 1978 3 1 10205 32766 32766 25 86 -37 21 29 315 0 44 32766 25 67 11 86 11 95 
