V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 1972 1 8 10289 32766 32766 -13 21 -34 43 77 355 0 6 32766 13 53 6 77 6 15 
54823 1972 1 9 10245 32766 32766 -3 15 -12 50 84 373 32700 10 32766 25 40 3 62 3 8 
54823 1972 1 10 10220 32766 32766 -11 -2 -19 53 94 387 31003 4 32766 15 33 3 44 4 0 
54823 1972 1 11 10190 32766 32766 -23 -9 -32 49 94 392 0 4 32766 3 40 4 54 4 0 
54823 1972 1 12 10215 32766 32766 -20 7 -36 43 82 371 0 8 32766 25 40 4 53 4 64 
54823 1972 1 13 10225 32766 32766 -22 17 -53 45 88 366 32700 9 32766 10 33 5 47 6 23 
54823 1972 1 14 10265 32766 32766 -27 -3 -42 34 67 356 32700 7 32766 13 77 3 114 3 38 
54823 1972 1 15 10267 32766 32766 -36 28 -79 26 56 329 0 16 32766 25 50 12 98 13 85 
54823 1972 1 16 10253 32766 32766 -6 54 -45 31 54 331 0 18 32766 15 40 11 65 11 83 
54823 1972 1 17 10222 32766 32766 10 67 -27 32 51 323 0 21 32766 10 50 11 98 10 80 
54823 1972 1 18 10177 32766 32766 31 87 -11 45 58 346 0 12 32766 8 30 1 33 2 78 
54823 1972 1 19 10125 32766 32766 23 55 -15 55 77 366 32700 12 32766 13 43 13 54 14 57 
54823 1972 1 20 10155 32766 32766 6 36 -15 60 94 383 32700 2 32766 8 33 12 49 12 17 
54823 1972 1 21 10185 32766 32766 3 53 -23 46 77 345 1 15 32766 20 63 4 93 4 82 
54823 1972 1 22 10117 32766 32766 -1 10 -20 56 93 386 32700 6 32766 20 97 3 138 3 0 
54823 1972 1 23 10176 32766 32766 -29 12 -51 46 93 388 30072 29 32766 100 143 4 231 4 0 
54823 1972 1 24 10186 32766 32766 -50 -37 -59 37 87 375 31071 32766 32766 65 100 3 124 3 0 
54823 1972 1 25 10262 32766 32766 -73 -44 -98 28 80 354 31006 1 32766 20 43 16 60 3 69 
54823 1972 1 26 10285 32766 32766 -99 -63 -122 18 64 341 0 11 32766 8 40 16 51 5 78 
54823 1972 1 27 10265 32766 32766 -74 -22 -110 25 69 360 0 11 32766 23 53 13 84 10 83 
54823 1972 1 28 10224 32766 32766 -40 23 -96 31 68 347 0 13 32766 18 63 10 120 11 76 
54823 1972 1 29 10157 32766 32766 -5 12 -17 38 65 350 0 23 32766 33 70 10 131 10 55 
54823 1972 1 30 10156 32766 32766 -38 -10 -72 38 80 366 31038 1 32766 25 47 3 57 4 0 
54823 1972 1 31 10080 32766 32766 -35 -18 -56 43 92 382 31064 5 32766 20 40 15 67 16 2 
54823 1972 2 1 10150 32766 32766 -56 -28 -99 33 82 352 0 3 32766 20 80 3 135 4 0 
54823 1972 2 2 10235 32766 32766 -66 -45 -97 17 45 333 0 12 32766 33 70 5 95 5 0 
54823 1972 2 3 10248 32766 32766 -59 -37 -77 26 64 358 32700 10 32766 28 63 4 86 4 0 
54823 1972 2 4 10263 32766 32766 -57 -26 -87 31 77 364 32700 10 32766 15 43 3 32766 32766 46 
54823 1972 2 5 10261 32766 32766 -60 -24 -93 30 78 359 0 12 32766 20 47 4 59 4 62 
54823 1972 2 6 10243 32766 32766 -58 -17 -88 29 74 360 0 9 32766 10 37 14 76 14 84 
54823 1972 2 7 10267 32766 32766 -81 -28 -149 27 78 371 0 11 32766 23 80 3 116 4 85 
54823 1972 2 8 10234 32766 32766 -58 -16 -104 30 76 369 0 7 32766 35 53 4 66 4 75 
54823 1972 2 9 10185 32766 32766 -35 7 -71 35 77 348 0 11 32766 8 40 13 51 14 80 
54823 1972 2 10 10182 32766 32766 -20 27 -56 40 76 364 0 12 32766 10 37 14 38 4 82 
54823 1972 2 11 10211 32766 32766 -14 23 -58 47 85 373 32700 3 32766 13 43 14 57 15 19 
54823 1972 2 12 10196 32766 32766 -8 7 -16 53 92 384 32700 6 32766 10 37 15 37 15 0 
54823 1972 2 13 10177 32766 32766 -19 22 -43 47 88 378 0 3 32766 13 47 4 54 4 59 
