V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 1984 1 8 10160 10202 10139 25 76 -14 18 26 11 0 18 32766 38 50 12 84 14 82 
54823 1984 1 9 10095 10139 10067 67 128 15 19 20 11 0 46 32766 35 50 10 93 9 82 
54823 1984 1 10 10123 10153 10076 32 83 -15 32 42 19 0 31 32766 40 67 5 101 3 81 
54823 1984 1 11 10154 10173 10128 23 87 -32 40 59 33 0 52 32766 20 77 11 135 9 78 
54823 1984 1 12 10184 10218 10147 16 52 -11 36 54 25 0 21 32766 18 57 3 96 3 81 
54823 1984 1 13 10087 10184 10025 36 88 -42 23 30 18 0 37 32766 43 87 9 143 9 81 
54823 1984 1 14 10124 10202 10046 20 72 -14 25 35 14 0 37 32766 40 103 4 152 2 50 
54823 1984 1 15 10266 10296 10202 -42 -8 -71 6 15 7 0 28 32766 45 70 3 131 1 84 
54823 1984 1 16 10246 10279 10213 -32 15 -73 8 18 5 0 19 32766 23 57 11 88 9 66 
54823 1984 1 17 10211 10232 10189 -9 36 -60 13 24 13 0 19 32766 15 30 9 56 9 62 
54823 1984 1 18 10197 10208 10182 -12 26 -35 18 32 18 0 18 32766 15 37 3 68 1 65 
54823 1984 1 19 10228 10244 10208 -34 11 -64 26 57 30 0 12 32766 28 40 3 60 2 71 
54823 1984 1 20 10209 10225 10193 -24 19 -62 17 37 16 0 13 32766 5 37 2 51 2 53 
54823 1984 1 21 10204 10222 10193 -44 -8 -75 17 39 16 0 15 32766 30 77 4 115 2 81 
54823 1984 1 22 10202 10223 10182 -37 20 -84 11 24 15 0 19 32766 35 60 12 100 11 84 
54823 1984 1 23 10222 10247 10190 -9 31 -32 20 36 20 0 28 32766 30 60 11 100 9 79 
54823 1984 1 24 10259 10272 10240 -30 28 -74 16 37 11 0 22 32766 30 47 5 87 13 59 
54823 1984 1 25 10274 10292 10257 -32 24 -78 15 36 11 0 16 32766 25 60 4 83 3 75 
54823 1984 1 26 10298 10323 10271 -59 -16 -93 14 36 23 0 17 32766 45 90 4 103 3 12 
54823 1984 1 27 10291 10321 10273 -54 -24 -90 21 48 33 32700 14 32766 30 70 4 100 3 0 
54823 1984 1 28 10302 10320 10282 -53 -22 -74 21 53 13 1 17 32766 50 77 4 113 1 67 
54823 1984 1 29 10287 10322 10265 -60 -27 -82 13 34 20 0 13 32766 25 60 4 84 2 2 
54823 1984 1 30 10262 10283 10234 -43 -17 -61 14 31 23 0 10 32766 5 27 4 44 2 0 
54823 1984 1 31 10205 10260 10170 -9 47 -54 27 47 33 0 13 32766 18 60 11 92 10 75 
54823 1984 2 1 10211 10248 10155 -30 16 -58 16 31 11 0 26 32766 43 67 10 114 9 86 
54823 1984 2 2 10283 10305 10248 -63 -16 -91 8 22 13 0 18 32766 20 50 5 76 3 91 
54823 1984 2 3 10254 10295 10215 -33 16 -85 8 17 13 0 17 32766 25 43 11 81 9 76 
54823 1984 2 4 10182 10216 10164 -7 22 -25 21 36 15 0 26 32766 10 43 10 86 10 0 
54823 1984 2 5 10257 10290 10183 -38 -2 -52 15 31 21 0 17 32766 35 90 4 145 2 7 
54823 1984 2 6 10296 10331 10270 -63 -16 -96 8 21 8 0 18 32766 20 60 4 93 3 92 
54823 1984 2 7 10257 10287 10233 -44 11 -103 8 19 10 0 17 32766 15 33 3 60 3 92 
54823 1984 2 8 10229 10257 10216 -22 23 -73 8 15 9 0 19 32766 23 43 4 84 15 93 
54823 1984 2 9 10238 10262 10225 -12 27 -54 11 19 11 0 18 32766 20 40 4 65 2 60 
54823 1984 2 10 10222 10237 10203 -8 38 -46 25 42 19 0 16 32766 20 43 11 67 10 53 
54823 1984 2 11 10200 10219 10175 -2 52 -46 31 53 34 0 12 32766 18 43 12 68 10 60 
54823 1984 2 12 10184 10197 10166 15 66 -33 38 57 41 0 15 32766 20 53 13 94 10 70 
54823 1984 2 13 10199 10215 10181 24 65 -23 44 61 46 0 17 32766 13 30 15 55 14 56 
54823 1984 2 14 10197 10221 10162 8 41 -30 30 48 20 0 22 32766 35 63 4 95 2 6 
54823 1984 2 15 10172 10197 10162 12 46 -16 34 51 35 0 19 32766 48 80 4 113 3 37 
54823 1984 2 16 10148 10170 10123 -10 16 -22 37 65 45 5 21 32766 20 63 4 105 3 0 
54823 1984 2 17 10240 10263 10160 -20 25 -56 28 59 20 1 19 32766 23 80 2 140 16 95 
54823 1984 2 18 10235 10257 10211 15 79 -39 15 24 10 0 24 32766 20 47 10 76 9 95 
54823 1984 2 19 10199 10216 10186 20 52 -7 22 32 23 0 23 32766 15 40 11 70 10 0 
54823 1984 2 20 10189 10212 10161 42 89 4 27 33 20 0 24 32766 15 37 4 62 2 46 
54823 1984 2 21 10157 10175 10136 39 65 21 33 42 28 0 23 32766 35 67 4 104 3 0 
54823 1984 2 22 10157 10182 10138 1 36 -10 59 96 44 24 1 32766 18 57 4 66 3 0 
54823 1984 2 23 10178 10193 10154 7 46 -28 43 70 41 0 12 32766 13 37 4 56 3 70 
54823 1984 2 24 10193 10217 10172 24 66 -6 38 53 35 0 16 32766 20 50 3 73 2 56 
54823 1984 2 25 10197 10211 10169 17 74 -35 37 57 29 0 24 32766 20 57 16 97 15 42 
54823 1984 2 26 10233 10251 10202 9 53 -17 17 27 6 0 47 32766 30 53 4 100 14 97 
54823 1984 2 27 10247 10264 10224 12 73 -47 20 35 11 0 24 32766 8 33 5 58 3 84 
54823 1984 2 28 10241 10263 10200 17 36 -17 16 22 9 0 57 32766 45 80 14 162 1 82 
54823 1984 2 29 10195 10270 10133 9 67 -57 8 12 5 0 35 32766 43 80 11 150 10 98 
54823 1984 3 1 10133 10153 10119 35 79 3 12 16 6 0 54 32766 35 87 16 149 14 72 
54823 1984 3 2 10156 10205 10117 21 73 -18 16 23 14 0 54 32766 38 100 16 190 16 98 
54823 1984 3 3 10223 10243 10198 19 85 -41 13 19 8 0 39 32766 25 70 14 122 12 103 
54823 1984 3 4 10161 10215 10123 65 125 11 18 18 7 0 48 32766 30 77 10 145 9 95 
54823 1984 3 5 10190 10211 10132 16 96 -31 25 40 10 0 41 32766 45 70 4 99 3 103 
54823 1984 3 6 10216 10234 10198 19 82 -40 26 42 15 0 37 32766 25 57 4 96 3 95 
54823 1984 3 7 10198 10222 10168 53 113 0 28 33 18 0 36 32766 30 67 14 95 11 99 
54823 1984 3 8 10147 10184 10118 62 97 25 38 40 29 0 36 32766 25 60 10 112 9 0 
54823 1984 3 9 10149 10177 10113 23 77 -17 40 57 30 46 35 32766 23 60 4 101 16 80 
54823 1984 3 10 10135 10173 10093 41 106 -20 20 27 11 0 42 32766 33 83 12 143 10 103 
54823 1984 3 11 10040 10096 10007 103 179 62 24 19 8 0 84 32766 53 80 4 143 11 100 
54823 1984 3 12 10108 10126 10043 51 97 6 30 37 23 0 62 32766 63 93 4 138 2 35 
54823 1984 3 13 10115 10141 10082 36 87 3 38 51 24 37 30 32766 23 67 4 103 3 0 
54823 1984 3 14 10115 10129 10099 27 59 2 65 88 72 27 6 32766 10 23 1 30 14 2 
54823 1984 3 15 10067 10118 10029 77 123 23 76 73 54 0 37 32766 40 80 11 135 10 95 
54823 1984 3 16 10131 10161 10056 74 115 37 37 37 17 32700 52 32766 8 70 11 118 9 102 
54823 1984 3 17 10080 10132 10042 96 137 50 26 22 10 0 55 32766 20 43 9 80 8 41 
54823 1984 3 18 10079 10122 10038 82 119 57 60 56 25 32700 31 32766 25 47 9 88 7 5 
54823 1984 3 19 10162 10186 10122 44 88 -2 63 77 55 0 32 32766 28 50 4 70 2 71 
54823 1984 3 20 10181 10252 10097 47 84 18 39 46 35 0 61 32766 70 110 2 180 16 100 
54823 1984 3 21 10248 10287 10192 32 77 -24 32 47 17 0 30 32766 20 60 10 115 9 81 
54823 1984 3 22 10126 10192 10097 88 133 45 37 32 18 0 72 32766 53 110 10 172 10 85 
54823 1984 3 23 10125 10159 10077 111 129 98 65 49 38 0 56 32766 45 83 10 165 8 43 
54823 1984 3 24 10164 10197 10125 83 149 7 45 51 11 0 61 32766 23 70 12 111 12 93 
54823 1984 3 25 10140 10163 10125 88 124 56 33 29 16 0 32766 32766 70 110 4 155 3 82 
54823 1984 3 26 10145 10165 10124 81 167 8 56 52 24 9 46 32766 33 100 5 147 3 84 
54823 1984 3 27 10179 10217 10150 90 132 33 49 45 22 19 51 32766 38 77 4 112 3 40 
54823 1984 3 28 10065 10150 9995 156 223 95 70 44 20 0 165 32766 88 110 10 186 9 91 
54823 1984 3 29 9965 9996 9945 181 236 137 87 43 24 0 120 32766 63 113 10 213 9 96 
54823 1984 3 30 10070 10127 9977 81 188 55 61 57 33 32700 62 32766 75 123 4 183 2 53 
54823 1984 3 31 10147 10162 10124 79 132 40 30 29 14 32700 94 32766 70 100 4 159 3 84 
54823 1984 4 1 10124 10167 10083 101 186 24 37 29 22 0 77 32766 33 80 4 111 3 98 
54823 1984 4 2 10083 10100 10074 112 148 94 96 74 29 49 14 32766 28 60 10 105 9 0 
54823 1984 4 3 10064 10086 10037 125 197 69 112 80 49 0 36 32766 13 43 4 60 2 74 
54823 1984 4 4 10048 10063 10034 112 157 80 97 73 51 61 18 32766 35 87 3 139 2 0 
54823 1984 4 5 10128 10163 10053 76 106 49 44 45 17 2 56 32766 45 77 3 126 2 76 
54823 1984 4 6 10152 10177 10117 100 167 26 37 32 10 0 73 32766 25 60 11 102 9 95 
54823 1984 4 7 10125 10140 10107 132 177 97 53 35 19 0 73 32766 20 60 10 108 9 9 
