V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54161 2003 1 4 9972 9990 9959 -227 -185 -273 8 73 64 32700 3 32766 18 50 15 32766 32766 50 
54161 2003 1 5 10026 10041 9988 -222 -160 -265 7 68 51 0 5 32766 28 50 11 32766 32766 71 
54161 2003 1 6 10007 10044 9990 -164 -104 -208 11 60 52 0 5 32766 43 70 12 32766 32766 80 
54161 2003 1 7 9986 10007 9970 -137 -85 -189 13 59 48 0 9 32766 45 70 11 32766 32766 67 
54161 2003 1 8 9920 9970 9897 -72 -29 -117 22 60 52 0 16 32766 70 103 11 32766 32766 64 
54161 2003 1 9 9920 9941 9892 -83 -47 -126 22 67 43 0 14 32766 30 93 11 32766 32766 73 
54161 2003 1 10 9935 9955 9924 -111 -90 -141 21 78 61 3 5 32766 23 40 3 32766 32766 51 
54161 2003 1 11 9866 9924 9857 -72 -34 -136 27 76 58 0 10 32766 55 83 11 32766 32766 63 
54161 2003 1 12 9809 9861 9785 -29 9 -76 32 65 52 0 16 32766 53 100 12 32766 32766 70 
54161 2003 1 13 9900 9966 9818 -97 -26 -139 18 57 40 0 15 32766 35 73 3 32766 32766 39 
54161 2003 1 14 10015 10030 9966 -165 -116 -198 9 52 39 0 6 32766 18 27 12 32766 32766 76 
54161 2003 1 15 9959 10033 9900 -124 -64 -186 15 59 41 0 11 32766 38 73 10 32766 32766 65 
54161 2003 1 16 9909 9929 9896 -65 -40 -94 33 86 73 1 7 32766 33 73 11 32766 32766 0 
54161 2003 1 17 9998 10015 9930 -124 -87 -150 15 65 44 0 8 32766 20 33 4 32766 32766 77 
54161 2003 1 18 9969 10007 9954 -117 -52 -157 14 57 39 0 10 32766 25 67 12 32766 32766 72 
54161 2003 1 19 9924 9963 9901 -140 -73 -197 14 67 44 0 7 32766 10 30 12 32766 32766 66 
54161 2003 1 20 9923 9944 9897 -144 -103 -170 13 62 45 0 7 32766 18 43 15 32766 32766 80 
54161 2003 1 21 9889 9944 9864 -124 -76 -176 15 61 55 2 6 32766 33 50 8 32766 32766 30 
54161 2003 1 22 9886 9896 9873 -120 -70 -160 18 73 56 0 10 32766 15 40 2 32766 32766 64 
54161 2003 1 23 9894 9900 9883 -145 -98 -170 17 85 64 1 4 32766 8 30 12 32766 32766 28 
54161 2003 1 24 9950 9979 9899 -115 -44 -168 18 71 47 0 8 32766 23 40 11 32766 32766 79 
54161 2003 1 25 9988 10000 9979 -77 -26 -126 20 58 42 0 8 32766 18 27 9 32766 32766 66 
54161 2003 1 26 9952 9985 9935 -70 -49 -91 27 73 52 11 4 32766 18 33 16 32766 32766 0 
54161 2003 1 27 9908 9942 9891 -154 -87 -176 15 80 65 18 3 32766 25 50 1 32766 32766 42 
54161 2003 1 28 9888 9902 9874 -205 -160 -230 10 82 72 3 4 32766 15 47 16 32766 32766 10 
54161 2003 1 29 9931 9943 9896 -225 -171 -268 7 68 54 0 7 32766 38 77 12 32766 32766 81 
54161 2003 1 30 9936 9954 9921 -164 -109 -205 11 65 55 0 6 32766 33 63 14 32766 32766 83 
54161 2003 1 31 10003 10028 9954 -156 -98 -195 12 64 45 0 8 32766 20 33 12 32766 32766 82 
54161 2003 2 1 10025 10036 10011 -134 -61 -192 13 60 42 0 7 32766 13 27 11 32766 32766 80 
54161 2003 2 2 10009 10015 10002 -125 -76 -176 14 60 48 0 6 32766 13 20 16 32766 32766 80 
54161 2003 2 3 9982 10013 9962 -112 -45 -170 17 68 47 0 9 32766 18 43 11 32766 32766 88 
54161 2003 2 4 9960 9973 9949 -96 -41 -157 18 62 43 0 11 32766 15 30 16 32766 32766 76 
