V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 2001 1 8 10048 10060 10031 3 13 -7 58 93 89 74 16 32766 23 57 3 98 3 0 
54823 2001 1 9 10058 10079 10031 -9 32 -37 46 80 45 28 36 32766 30 63 3 100 3 72 
54823 2001 1 10 9962 10031 9945 -5 30 -34 39 66 50 0 17 32766 58 129 8 204 8 53 
54823 2001 1 11 9994 10023 9962 -35 -24 -53 40 86 77 32700 3 32766 33 61 4 94 3 0 
54823 2001 1 12 10023 10036 9995 -25 9 -66 41 82 68 0 3 32766 23 58 10 98 10 0 
54823 2001 1 13 10072 10126 10016 -54 -18 -81 34 81 73 20 15 32766 40 62 4 98 5 12 
54823 2001 1 14 10140 10152 10126 -105 -58 -135 15 55 27 0 8 32766 33 60 1 94 15 83 
54823 2001 1 15 10146 10158 10129 -89 -18 -135 16 52 31 0 14 32766 30 40 11 65 11 86 
54823 2001 1 16 10111 10143 10085 -33 17 -82 26 54 42 0 9 32766 20 35 7 46 9 63 
54823 2001 1 17 10062 10092 10032 9 53 -22 33 51 41 0 14 32766 40 59 8 96 8 72 
54823 2001 1 18 10054 10072 10030 12 57 -25 48 71 58 0 12 32766 35 54 7 94 8 46 
54823 2001 1 19 10066 10097 10048 -14 14 -27 53 96 83 14 8 32766 15 44 1 63 1 0 
54823 2001 1 20 10044 10065 10021 -24 -2 -41 47 92 83 0 4 32766 15 33 3 52 3 0 
54823 2001 1 21 10030 10041 10016 -16 -5 -24 48 88 86 0 7 32766 15 39 4 58 3 0 
54823 2001 1 22 10068 10101 10027 -30 -21 -35 46 94 89 2 0 32766 23 36 1 52 3 0 
54823 2001 1 23 10095 10122 10077 -13 4 -29 49 87 80 32700 2 32766 23 40 3 65 2 0 
54823 2001 1 24 10072 10087 10060 -20 -4 -27 49 92 83 59 4 32766 18 46 3 69 3 0 
54823 2001 1 25 10067 10084 10054 -33 -10 -44 34 70 59 0 11 32766 45 78 3 125 3 22 
54823 2001 1 26 10023 10062 9993 -32 1 -49 31 66 44 0 12 32766 23 52 3 81 10 56 
54823 2001 1 27 10025 10033 10010 1 57 -44 31 52 30 0 21 32766 30 70 14 106 13 56 
54823 2001 1 28 10080 10108 10027 -20 20 -49 22 41 33 0 22 32766 35 84 15 123 14 91 
54823 2001 1 29 10028 10077 10000 2 66 -32 25 40 24 0 22 32766 28 74 10 113 9 87 
54823 2001 1 30 10008 10044 9967 18 92 -39 29 44 19 0 21 32766 33 66 8 115 8 84 
54823 2001 1 31 9989 10026 9945 28 58 -4 42 57 33 0 29 32766 43 97 9 158 10 72 
54823 2001 2 1 10048 10078 10022 3 56 -32 21 36 18 0 24 32766 28 69 4 104 4 82 
54823 2001 2 2 10002 10036 9975 37 88 6 40 52 30 0 27 32766 65 93 8 140 9 73 
54823 2001 2 3 10023 10049 9984 14 40 -7 46 69 38 0 9 32766 30 80 9 135 8 0 
54823 2001 2 4 10047 10069 10035 -4 8 -14 54 91 85 32700 12 32766 18 39 16 63 4 0 
54823 2001 2 5 10029 10039 10009 -9 6 -29 53 94 88 36 2 32766 20 51 4 90 4 0 
54823 2001 2 6 10068 10078 10030 -66 -28 -76 33 87 81 34 5 32766 60 75 4 123 5 0 
54823 2001 2 7 10108 10124 10077 -66 -22 -94 25 70 40 32700 11 32766 28 62 4 98 4 85 
54823 2001 2 8 10067 10109 10038 -31 17 -82 33 67 47 0 11 32766 28 67 11 108 10 79 
54823 2001 2 9 10064 10082 10047 -4 51 -41 43 73 58 0 9 32766 30 40 9 73 9 79 
54823 2001 2 10 10066 10075 10055 -11 10 -42 45 78 59 0 5 32766 25 49 5 77 5 0 
54823 2001 2 11 10125 10152 10075 -20 0 -31 49 93 86 10 3 32766 38 57 4 90 3 0 
54823 2001 2 12 10142 10161 10123 -25 -8 -34 46 91 85 35 10 32766 25 47 5 71 3 0 
54823 2001 2 13 10089 10133 10069 -26 -6 -44 46 91 81 16 6 32766 23 45 14 73 13 0 
54823 2001 2 14 10032 10083 9994 31 75 -46 39 49 34 0 25 32766 65 95 8 148 8 91 
54823 2001 2 15 10055 10105 9994 20 72 -12 51 72 48 0 20 32766 38 92 9 148 9 61 
54823 2001 2 16 10127 10154 10087 17 76 -54 20 29 19 0 26 32766 28 63 8 100 8 96 
54823 2001 2 17 10015 10087 9976 40 72 21 33 41 34 0 33 32766 43 80 10 171 9 4 
54823 2001 2 18 9990 9999 9976 62 155 2 58 63 39 0 31 32766 23 43 12 67 11 82 
54823 2001 2 19 10036 10054 9997 78 137 37 74 71 55 0 24 32766 23 41 1 58 1 43 
54823 2001 2 20 9991 10034 9952 81 113 36 51 48 31 0 32 32766 28 64 8 90 8 12 
54823 2001 2 21 9956 9967 9943 86 154 32 78 69 55 0 30 32766 30 44 15 69 15 81 
54823 2001 2 22 9940 9963 9919 117 179 80 83 62 40 0 45 32766 45 85 8 131 8 79 
54823 2001 2 23 9994 10035 9933 -18 105 -39 48 86 72 76 7 32766 63 99 4 169 3 0 
54823 2001 2 24 10096 10116 10035 -13 30 -50 38 67 53 0 19 32766 23 68 3 106 3 71 
54823 2001 2 25 10112 10128 10096 21 78 -19 41 58 39 0 20 32766 30 63 11 94 13 96 
54823 2001 2 26 10074 10105 10041 46 93 8 47 55 47 0 30 32766 33 45 8 90 8 66 
54823 2001 2 27 10030 10055 10016 42 60 34 77 93 67 30 2 32766 15 40 8 60 8 0 
54823 2001 2 28 10012 10045 9969 51 122 -7 57 70 36 0 27 32766 43 74 8 102 9 72 
54823 2001 3 1 9995 10018 9964 83 137 57 48 45 23 0 48 4 48 67 10 100 10 89 
54823 2001 3 2 9980 10026 9946 122 166 60 48 33 25 0 63 27 73 119 9 181 9 53 
54823 2001 3 3 9999 10034 9967 66 129 34 33 31 11 0 65 34 58 114 14 165 13 82 
54823 2001 3 4 10001 10020 9976 50 109 -15 23 29 13 0 48 10 33 79 15 135 15 95 
54823 2001 3 5 9928 9976 9899 123 177 73 32 22 18 0 73 37 70 124 10 175 9 69 
54823 2001 3 6 9999 10049 9908 72 128 35 30 28 20 0 65 35 65 111 15 169 15 66 
54823 2001 3 7 10096 10113 10049 6 54 -42 20 31 19 0 39 25 35 78 15 121 3 99 
54823 2001 3 8 10087 10117 10053 8 50 -38 21 33 19 0 38 19 48 80 14 121 14 97 
54823 2001 3 9 9984 10053 9936 88 154 24 26 22 13 0 79 40 53 98 10 152 11 99 
54823 2001 3 10 10021 10054 9951 65 122 16 39 42 27 0 55 27 53 83 4 129 5 80 
54823 2001 3 11 10036 10057 10003 48 100 1 42 48 37 0 45 20 25 64 13 100 13 35 
54823 2001 3 12 10017 10050 9979 101 184 11 45 40 17 0 65 31 45 71 9 115 8 98 
54823 2001 3 13 9912 9979 9872 167 216 124 62 33 25 0 103 40 108 133 8 215 10 48 
54823 2001 3 14 9968 10042 9861 110 185 45 64 49 32 0 77 33 68 136 8 229 8 71 
54823 2001 3 15 10050 10081 10018 68 140 -14 38 39 25 0 47 15 18 46 6 65 1 92 
54823 2001 3 16 9996 10029 9972 61 89 35 49 52 35 0 24 16 25 51 13 77 13 0 
54823 2001 3 17 9936 9978 9916 93 163 42 54 47 34 0 50 21 33 62 10 94 11 79 
54823 2001 3 18 9946 9976 9928 153 204 101 61 36 24 0 68 30 30 51 14 83 10 99 
54823 2001 3 19 9906 9942 9874 173 227 99 44 24 9 0 94 60 45 83 13 125 11 87 
54823 2001 3 20 9882 9902 9859 182 234 120 44 22 14 0 114 45 43 83 13 146 13 84 
54823 2001 3 21 9828 9867 9800 203 255 152 58 24 19 0 119 62 70 97 9 154 9 89 
54823 2001 3 22 9941 9963 9825 134 220 83 28 18 11 0 115 62 48 108 3 185 16 92 
54823 2001 3 23 9921 9948 9896 149 206 100 31 19 13 0 89 59 55 72 9 115 9 77 
54823 2001 3 24 9887 9908 9864 174 227 137 84 42 17 0 83 38 38 76 9 129 9 55 
54823 2001 3 25 9945 9971 9872 97 183 46 52 45 20 0 84 45 45 109 5 165 5 101 
