V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
56080 1967 1 4 7134 32766 32766 -118 -36 -168 18 74 353 32700 6 32766 8 32766 32766 32766 32766 72 
56080 1967 1 5 7110 32766 32766 -99 -17 -161 21 77 342 31013 8 32766 15 32766 32766 32766 32766 80 
56080 1967 1 6 7107 32766 32766 -103 38 -209 15 58 329 0 40 32766 3 32766 32766 32766 32766 87 
56080 1967 1 7 7134 32766 32766 -84 -10 -120 19 60 343 0 14 32766 18 32766 32766 32766 32766 88 
56080 1967 1 8 7135 32766 32766 -111 -6 -181 17 70 342 0 9 32766 3 32766 32766 32766 32766 85 
56080 1967 1 9 7124 32766 32766 -107 18 -155 18 67 348 0 14 32766 15 32766 32766 32766 32766 73 
56080 1967 1 10 7149 32766 32766 -136 -70 -163 15 71 350 32700 13 32766 18 32766 32766 32766 32766 74 
56080 1967 1 11 7165 32766 32766 -142 -28 -234 10 56 314 0 17 32766 10 32766 32766 32766 32766 85 
56080 1967 1 12 7141 32766 32766 -139 -14 -243 6 35 312 0 12 32766 5 32766 32766 32766 32766 89 
56080 1967 1 13 7115 32766 32766 -129 -59 -183 8 36 323 0 13 32766 23 32766 32766 32766 32766 32 
56080 1967 1 14 7167 32766 32766 -129 -37 -225 6 30 311 0 17 32766 15 32766 32766 32766 32766 87 
56080 1967 1 15 7193 32766 32766 -148 -8 -263 5 35 310 0 15 32766 5 32766 32766 32766 32766 91 
56080 1967 1 16 7128 32766 32766 -140 -5 -225 7 36 323 0 15 32766 0 32766 32766 32766 32766 92 
56080 1967 1 17 7136 32766 32766 -113 24 -219 9 42 319 0 14 32766 10 32766 32766 32766 32766 79 
56080 1967 1 18 7147 32766 32766 -111 30 -212 10 44 319 0 22 32766 10 32766 32766 32766 32766 85 
56080 1967 1 19 7144 32766 32766 -94 40 -182 10 39 317 0 13 32766 3 32766 32766 32766 32766 79 
56080 1967 1 20 7124 32766 32766 -60 89 -182 10 33 305 0 20 32766 13 32766 32766 32766 32766 83 
56080 1967 1 21 7140 32766 32766 -89 9 -183 10 38 314 0 23 32766 13 32766 32766 32766 32766 76 
56080 1967 1 22 7169 32766 32766 -93 34 -178 15 53 331 0 13 32766 5 32766 32766 32766 32766 56 
56080 1967 1 23 7146 32766 32766 -81 68 -187 13 47 319 0 29 32766 3 32766 32766 32766 32766 92 
56080 1967 1 24 7127 32766 32766 -79 60 -189 7 25 311 0 16 32766 5 32766 32766 32766 32766 92 
56080 1967 1 25 7074 32766 32766 -51 86 -153 13 32 322 0 22 32766 8 32766 32766 32766 32766 86 
56080 1967 1 26 7050 32766 32766 -55 21 -112 20 46 340 0 17 32766 3 32766 32766 32766 32766 40 
56080 1967 1 27 7066 32766 32766 -86 -17 -146 27 85 365 31019 8 32766 15 32766 32766 32766 32766 42 
56080 1967 1 28 7092 32766 32766 -96 -66 -122 23 77 364 31006 3 32766 18 32766 32766 32766 32766 22 
56080 1967 1 29 7101 32766 32766 -105 -77 -122 22 80 377 31010 3 32766 5 32766 32766 32766 32766 0 
56080 1967 1 30 7127 32766 32766 -131 -58 -205 19 82 372 32700 3 32766 5 32766 32766 32766 32766 70 
56080 1967 1 31 7130 32766 32766 -155 -78 -232 15 79 368 32700 4 32766 3 32766 32766 32766 32766 47 
56080 1967 2 1 7112 32766 32766 -134 -48 -204 13 65 332 32700 9 32766 0 32766 32766 32766 32766 72 
56080 1967 2 2 7114 32766 32766 -133 -18 -242 11 52 331 0 13 32766 0 32766 32766 32766 32766 86 
56080 1967 2 3 7129 32766 32766 -81 39 -192 12 36 322 0 22 32766 0 32766 32766 32766 32766 95 
56080 1967 2 4 7122 32766 32766 -92 75 -215 12 44 322 0 21 32766 8 32766 32766 32766 32766 96 
56080 1967 2 5 7066 32766 32766 -71 -3 -125 18 53 332 0 23 32766 15 32766 32766 32766 32766 63 
56080 1967 2 6 7099 32766 32766 -91 -21 -132 21 70 343 32700 10 32766 15 32766 32766 32766 32766 55 
56080 1967 2 7 7070 32766 32766 -94 -24 -147 18 66 340 0 12 32766 5 32766 32766 32766 32766 65 
56080 1967 2 8 7052 32766 32766 -70 17 -152 17 54 322 0 19 32766 8 32766 32766 32766 32766 78 
56080 1967 2 9 7105 32766 32766 -96 -15 -145 18 61 345 0 13 32766 13 32766 32766 32766 32766 65 
56080 1967 2 10 7107 32766 32766 -87 5 -136 21 69 350 31003 10 32766 18 32766 32766 32766 32766 81 
56080 1967 2 11 7109 32766 32766 -86 18 -165 17 59 327 32700 19 32766 15 32766 32766 32766 32766 72 
56080 1967 2 12 7090 32766 32766 -82 6 -142 22 68 342 31001 16 32766 35 32766 32766 32766 32766 71 
56080 1967 2 13 7134 32766 32766 -122 -78 -153 18 75 360 31007 8 32766 25 32766 32766 32766 32766 67 
