V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
56080 1977 1 4 7119 32766 32766 -119 2 -215 11 54 319 0 9 32766 10 43 15 32766 32766 61 
56080 1977 1 5 7116 32766 32766 -117 6 -211 12 50 335 0 12 32766 10 80 16 32766 32766 80 
56080 1977 1 6 7098 32766 32766 -127 -39 -202 13 55 338 32700 9 32766 13 67 16 32766 32766 35 
56080 1977 1 7 7100 32766 32766 -111 -12 -176 17 66 352 31004 5 32766 3 27 2 32766 32766 65 
56080 1977 1 8 7071 32766 32766 -118 -52 -160 14 57 342 0 13 32766 13 77 1 32766 32766 37 
56080 1977 1 9 7117 32766 32766 -143 -23 -244 6 43 306 0 16 32766 25 83 12 32766 32766 78 
56080 1977 1 10 7068 32766 32766 -80 44 -202 8 22 314 0 33 32766 30 140 14 32766 32766 87 
56080 1977 1 11 7088 32766 32766 -123 20 -225 8 40 318 0 13 32766 0 40 16 32766 32766 77 
56080 1977 1 12 7122 32766 32766 -97 -30 -146 10 34 313 0 12 32766 10 43 10 32766 32766 0 
56080 1977 1 13 7123 32766 32766 -132 -87 -149 15 68 361 31006 1 32766 10 50 15 32766 32766 0 
56080 1977 1 14 7114 32766 32766 -141 7 -248 9 53 317 0 15 32766 25 90 12 32766 32766 90 
56080 1977 1 15 7081 32766 32766 -121 -33 -189 13 56 341 0 5 32766 0 40 10 32766 32766 30 
56080 1977 1 16 7080 32766 32766 -108 11 -188 15 59 335 0 12 32766 8 77 16 32766 32766 75 
56080 1977 1 17 7099 32766 32766 -80 18 -166 16 53 319 31003 10 32766 18 43 1 32766 32766 74 
56080 1977 1 18 7100 32766 32766 -99 51 -197 11 41 318 0 24 32766 3 100 14 32766 32766 82 
56080 1977 1 19 7115 32766 32766 -85 40 -180 8 35 301 0 20 32766 15 90 13 32766 32766 82 
56080 1977 1 20 7106 32766 32766 -101 34 -196 9 30 319 0 14 32766 18 50 15 32766 32766 68 
56080 1977 1 21 7129 32766 32766 -76 -5 -124 15 48 323 32700 16 32766 5 80 16 32766 32766 53 
56080 1977 1 22 7150 32766 32766 -113 58 -227 6 27 312 0 16 32766 3 53 11 32766 32766 90 
56080 1977 1 23 7109 32766 32766 -69 102 -194 4 17 301 0 24 32766 20 80 9 32766 32766 85 
56080 1977 1 24 7070 32766 32766 -33 104 -144 9 24 308 0 23 32766 8 57 1 32766 32766 54 
56080 1977 1 25 7071 32766 32766 -61 11 -108 16 43 328 0 18 32766 13 100 16 32766 32766 57 
