V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 2000 1 8 10024 10041 10013 -20 -2 -54 37 70 47 32700 4 32766 3 31 11 52 11 0 
54823 2000 1 9 10012 10029 10000 -1 12 -14 53 87 81 0 3 32766 5 36 6 48 15 0 
54823 2000 1 10 10068 10080 10029 7 52 -27 51 80 60 0 1 32766 25 52 5 77 6 61 
54823 2000 1 11 10065 10083 10049 -12 23 -24 37 66 58 32700 9 32766 28 68 4 94 4 0 
54823 2000 1 12 10039 10058 10023 -31 -14 -41 42 86 72 51 4 32766 23 47 4 71 4 0 
54823 2000 1 13 10051 10077 10038 -39 15 -54 31 68 40 0 10 32766 40 53 4 96 3 59 
54823 2000 1 14 10058 10080 10045 -54 -2 -90 31 75 55 0 6 32766 20 36 4 54 4 69 
54823 2000 1 15 10069 10079 10061 -30 0 -52 43 88 77 20 0 32766 13 36 15 48 16 0 
54823 2000 1 16 10100 10119 10079 -28 -3 -40 41 83 70 4 5 32766 30 53 4 85 4 19 
54823 2000 1 17 10082 10107 10065 -36 13 -70 36 76 58 0 7 32766 18 29 4 48 4 64 
54823 2000 1 18 10063 10082 10050 -29 13 -62 34 68 53 0 5 32766 18 42 15 58 15 55 
54823 2000 1 19 10107 10133 10082 -52 2 -105 16 42 17 0 13 32766 30 50 12 77 2 87 
54823 2000 1 20 10145 10165 10096 -37 12 -73 25 53 35 0 8 32766 30 44 7 65 11 84 
54823 2000 1 21 10162 10186 10134 -26 19 -71 33 64 46 32700 8 32766 25 53 7 73 7 26 
54823 2000 1 22 10068 10134 10045 -16 2 -28 49 91 69 28 1 32766 13 35 16 50 16 0 
54823 2000 1 23 10096 10135 10057 -30 -11 -36 42 86 79 0 5 32766 30 52 4 81 4 0 
54823 2000 1 24 10201 10225 10135 -66 -30 -79 27 71 58 32700 5 32766 43 83 4 123 4 52 
54823 2000 1 25 10218 10230 10203 -99 -46 -140 16 56 38 0 9 32766 13 48 15 73 15 85 
54823 2000 1 26 10206 10221 10197 -86 -26 -133 17 55 34 0 12 32766 30 53 1 81 15 89 
54823 2000 1 27 10184 10205 10160 -70 3 -113 20 56 32 0 11 32766 30 38 6 46 7 91 
54823 2000 1 28 10127 10161 10106 -31 40 -91 22 48 29 0 16 32766 40 64 11 98 8 80 
54823 2000 1 29 10149 10190 10113 -24 3 -45 27 52 41 0 15 32766 23 58 1 83 1 44 
54823 2000 1 30 10239 10254 10190 -68 -25 -105 16 42 36 0 17 32766 25 62 2 108 2 88 
54823 2000 1 31 10250 10274 10225 -88 -52 -111 12 38 32 0 13 32766 38 64 2 100 1 70 
54823 2000 2 1 10165 10227 10131 -85 -15 -133 15 47 29 0 12 32766 28 37 13 60 13 84 
54823 2000 2 2 10110 10138 10088 -40 25 -93 23 52 35 0 11 32766 25 54 11 77 10 70 
54823 2000 2 3 10110 10124 10098 -38 33 -82 25 57 23 0 9 32766 25 37 6 50 16 84 
54823 2000 2 4 10095 10119 10067 -16 58 -72 28 51 36 0 15 32766 28 43 6 54 11 68 
54823 2000 2 5 10044 10079 10022 6 38 -17 45 72 50 5 11 32766 28 59 11 83 11 19 
54823 2000 2 6 10026 10045 10010 8 56 -17 51 78 68 0 9 32766 33 40 1 65 1 51 
54823 2000 2 7 10037 10066 10003 -17 9 -43 37 71 37 64 4 32766 45 66 1 102 4 70 
54823 2000 2 8 10082 10106 10019 -48 0 -77 19 44 35 0 17 32766 45 95 4 142 4 98 
54823 2000 2 9 10040 10092 10009 -31 45 -94 24 49 31 0 16 32766 40 45 12 63 12 85 
54823 2000 2 10 9987 10009 9967 14 77 -9 35 52 37 0 17 32766 35 49 7 75 5 76 
54823 2000 2 11 10008 10026 9984 19 102 -31 40 61 25 0 20 32766 30 47 4 67 4 83 
54823 2000 2 12 9982 9998 9966 69 127 6 59 59 48 0 26 32766 35 65 9 100 9 67 
54823 2000 2 13 9990 10006 9975 19 71 -7 58 84 55 25 5 32766 25 57 16 77 15 0 
54823 2000 2 14 10049 10065 10006 -10 37 -38 40 72 39 0 12 32766 18 52 1 83 16 88 
54823 2000 2 15 10071 10094 10051 -23 25 -66 16 31 19 0 21 32766 33 65 14 100 13 94 
54823 2000 2 16 10038 10057 10019 4 78 -43 22 35 22 0 20 32766 45 51 6 71 5 94 
54823 2000 2 17 10035 10043 10028 40 80 -4 31 39 32 0 42 32766 35 49 8 90 9 17 
54823 2000 2 18 10014 10040 9987 36 68 14 53 68 55 0 15 32766 20 42 1 58 1 5 
54823 2000 2 19 10006 10014 9997 1 42 -13 51 82 70 32700 3 32766 28 42 4 69 15 0 
54823 2000 2 20 10030 10048 10010 -3 61 -51 32 55 34 0 16 32766 28 44 16 67 16 92 
54823 2000 2 21 10035 10051 10015 24 93 -31 28 41 19 0 28 32766 40 68 12 98 11 85 
54823 2000 2 22 10031 10045 10014 45 101 -3 35 42 33 0 32 32766 28 55 11 85 12 81 
54823 2000 2 23 10062 10079 10019 25 64 -1 44 62 42 0 18 32766 30 62 5 98 4 17 
54823 2000 2 24 10108 10138 10077 22 65 -14 29 41 21 0 21 32766 28 51 4 73 4 28 
54823 2000 2 25 10043 10104 10006 5 35 -13 51 82 44 76 29 32766 45 100 14 175 13 0 
54823 2000 2 26 10036 10054 10025 12 86 -47 37 59 27 0 23 32766 28 52 6 69 13 96 
54823 2000 2 27 10023 10041 10007 76 124 35 35 34 28 0 46 32766 35 70 10 106 10 95 
54823 2000 2 28 10115 10144 10041 19 61 -17 31 47 25 0 31 32766 38 88 5 117 5 97 
54823 2000 2 29 10096 10134 10058 57 107 -14 34 37 30 0 34 32766 50 78 11 106 11 93 
54823 2000 3 1 10044 10069 10023 100 148 63 32 27 19 0 67 42 80 106 9 169 10 93 
54823 2000 3 2 10016 10042 9987 112 170 70 33 25 16 0 62 34 55 100 10 146 11 83 
54823 2000 3 3 9967 10000 9945 120 171 86 59 43 21 0 65 19 45 97 10 144 9 75 
54823 2000 3 4 10007 10031 9958 79 126 40 37 36 19 0 49 24 45 82 4 135 3 84 
54823 2000 3 5 9977 10027 9933 79 132 16 40 35 21 0 41 25 30 78 11 115 11 83 
54823 2000 3 6 10010 10036 9945 69 107 29 29 27 14 0 51 46 65 86 4 138 3 98 
54823 2000 3 7 10037 10049 10020 55 108 -4 25 28 20 0 41 26 28 69 13 106 14 92 
54823 2000 3 8 10039 10060 10023 51 133 -5 27 34 13 0 50 27 35 49 13 73 15 99 
54823 2000 3 9 10047 10069 10034 71 147 10 28 28 20 0 51 20 30 47 6 63 1 89 
54823 2000 3 10 10027 10047 10000 108 155 57 46 35 27 0 51 21 48 73 9 115 8 5 
54823 2000 3 11 9984 10013 9956 83 135 46 58 54 40 0 34 22 35 51 9 75 10 51 
54823 2000 3 12 9977 9986 9958 93 158 45 63 56 33 0 37 26 20 57 11 81 11 76 
54823 2000 3 13 10002 10015 9979 88 145 35 76 69 45 0 31 19 25 52 11 75 11 35 
54823 2000 3 14 10013 10045 9979 101 165 50 78 66 46 0 35 17 18 43 10 71 11 13 
54823 2000 3 15 9950 9988 9936 98 131 70 65 54 44 32700 38 22 33 69 9 115 9 32 
54823 2000 3 16 9964 9982 9944 92 175 24 49 47 18 0 52 13 38 60 13 100 11 92 
54823 2000 3 17 9931 9953 9916 143 205 83 55 37 9 32700 55 20 55 92 8 150 11 83 
54823 2000 3 18 9931 9972 9906 155 199 116 46 27 10 0 105 52 85 118 9 198 9 92 
54823 2000 3 19 10032 10063 9972 74 123 33 27 27 15 0 69 56 40 103 4 163 4 96 
54823 2000 3 20 9979 10014 9937 105 171 45 35 29 18 0 55 31 25 56 7 79 6 76 
54823 2000 3 21 9993 10013 9947 107 147 74 55 43 27 0 55 34 30 65 3 104 3 69 
54823 2000 3 22 10015 10029 9984 92 167 39 64 59 23 2 50 35 25 85 14 115 13 68 
54823 2000 3 23 10025 10047 9992 89 141 53 39 39 7 1 68 39 45 110 15 154 15 81 
54823 2000 3 24 10032 10049 10007 85 160 21 26 25 9 0 71 65 20 73 13 106 13 98 
54823 2000 3 25 10012 10029 9995 134 195 92 48 31 25 0 70 36 33 66 14 100 14 89 
54823 2000 3 26 9950 10006 9890 168 223 89 30 17 6 0 114 67 50 92 11 133 10 99 
54823 2000 3 27 9834 9890 9804 174 208 149 39 20 9 0 136 80 75 128 15 213 14 49 
54823 2000 3 28 9968 9998 9863 109 162 58 24 19 11 0 100 60 58 106 15 169 15 105 
54823 2000 3 29 9998 10036 9943 117 197 31 32 24 16 0 96 52 38 76 10 102 10 100 
54823 2000 3 30 9881 9947 9835 187 252 139 57 27 15 0 110 61 45 92 9 156 9 87 
54823 2000 3 31 9929 9962 9858 156 195 108 66 37 29 0 80 98 45 77 1 144 1 103 
54823 2000 4 1 9978 9993 9962 137 156 118 53 34 18 32700 57 38 30 81 7 113 8 0 
54823 2000 4 2 9992 10004 9969 126 172 67 76 54 36 83 49 22 30 79 8 106 8 69 
54823 2000 4 3 9971 10008 9923 150 213 80 59 37 20 0 79 38 48 93 9 158 9 90 
54823 2000 4 4 9947 9995 9900 136 180 120 84 54 18 32700 67 35 70 145 8 198 8 23 
54823 2000 4 5 10020 10050 9994 102 149 63 20 16 10 0 94 52 45 75 3 117 4 108 
54823 2000 4 6 9942 9994 9903 155 214 60 46 26 18 0 116 81 80 136 10 202 10 101 
54823 2000 4 7 9997 10011 9932 141 195 88 24 16 6 0 94 32 33 75 5 106 5 101 
54823 2000 4 8 9970 10003 9922 173 239 111 55 26 13 0 117 53 68 105 8 163 7 91 
54823 2000 4 9 9931 10012 9890 145 228 49 105 64 35 51 82 56 65 153 32766 281 32766 54 
54823 2000 4 10 10027 10054 9993 92 166 16 37 35 14 0 74 43 33 85 32766 125 32766 109 
54823 2000 4 11 9931 9996 9873 157 212 100 48 28 13 0 125 64 60 105 10 156 10 104 
54823 2000 4 12 9846 9881 9828 212 284 138 75 32 11 0 122 58 48 97 10 142 10 103 
54823 2000 4 13 9900 9957 9839 174 233 126 81 38 23 0 103 66 58 127 4 200 4 28 
54823 2000 4 14 9986 9999 9957 106 131 89 60 48 24 32700 55 25 43 78 4 127 4 0 
54823 2000 4 15 9974 10008 9950 134 200 59 76 52 29 32700 78 41 30 67 14 100 15 106 
54823 2000 4 16 9926 9956 9895 184 250 110 78 38 22 0 116 63 55 81 10 123 9 104 
54823 2000 4 17 9898 9907 9877 221 276 159 102 39 31 0 132 69 68 93 9 146 9 107 
54823 2000 4 18 9905 9912 9895 152 230 126 132 81 37 110 38 14 40 95 9 150 9 0 
54823 2000 4 19 9905 9928 9880 173 249 96 140 74 48 0 74 38 38 95 8 129 8 86 
54823 2000 4 20 9881 9916 9855 186 218 130 131 62 42 14 77 30 55 132 8 175 8 63 
54823 2000 4 21 9870 9893 9851 206 251 144 90 39 19 0 105 57 48 87 14 133 14 109 
54823 2000 4 22 9918 9925 9851 167 231 124 44 24 13 0 139 86 60 109 9 177 16 121 
54823 2000 4 23 9922 9949 9888 157 236 79 48 28 15 0 102 53 15 48 16 73 14 112 
54823 2000 4 24 9857 9902 9826 207 252 127 84 33 21 32700 90 41 28 72 8 110 8 32 
54823 2000 4 25 9837 9858 9821 222 260 200 77 29 11 0 97 40 50 102 14 160 15 60 
