V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 1998 1 8 10138 10150 10119 39 88 0 50 62 44 0 19 32766 20 38 13 60 12 49 
54823 1998 1 9 10160 10176 10142 54 88 24 63 70 58 0 15 32766 20 41 11 81 10 18 
54823 1998 1 10 10193 10206 10166 12 60 -11 57 87 69 0 4 32766 38 58 3 90 4 0 
54823 1998 1 11 10194 10215 10169 2 15 -11 49 79 67 32700 20 32766 40 58 3 83 3 0 
54823 1998 1 12 10195 10210 10187 -2 18 -26 45 75 68 0 5 32766 28 49 4 69 3 0 
54823 1998 1 13 10209 10222 10194 6 19 -8 48 75 65 0 12 32766 28 51 4 98 3 0 
54823 1998 1 14 10238 10249 10222 -36 10 -55 35 74 69 2 21 32766 83 105 4 156 4 0 
54823 1998 1 15 10193 10228 10173 -68 -39 -88 25 69 53 1 14 32766 58 75 3 113 2 38 
54823 1998 1 16 10197 10209 10183 -56 -36 -81 32 80 68 6 5 32766 40 61 4 98 3 0 
54823 1998 1 17 10226 10248 10207 -64 -43 -80 28 76 50 14 9 32766 33 63 2 100 3 64 
54823 1998 1 18 10271 10288 10248 -89 -54 -115 13 40 33 0 15 32766 23 43 3 71 14 83 
54823 1998 1 19 10238 10279 10187 -58 -9 -98 13 34 25 0 16 32766 35 56 11 98 11 82 
54823 1998 1 20 10194 10210 10180 -30 18 -65 17 36 18 0 15 32766 25 64 10 113 9 76 
54823 1998 1 21 10194 10216 10175 3 51 -45 19 30 25 0 24 32766 18 46 10 79 13 80 
54823 1998 1 22 10202 10232 10179 -5 26 -32 31 54 24 0 16 32766 25 47 4 73 3 59 
54823 1998 1 23 10244 10273 10202 -43 0 -67 16 37 18 0 26 32766 28 75 3 106 4 79 
54823 1998 1 24 10289 10304 10270 -40 8 -78 12 28 16 0 19 32766 25 46 15 79 13 83 
54823 1998 1 25 10230 10282 10195 -4 51 -40 23 37 27 0 20 32766 30 55 10 94 11 77 
54823 1998 1 26 10198 10217 10179 21 90 -54 23 38 9 0 15 32766 25 39 11 65 10 78 
54823 1998 1 27 10239 10269 10204 8 45 -28 42 64 38 0 23 32766 23 52 3 81 2 0 
54823 1998 1 28 10326 10348 10269 -22 21 -59 31 61 33 0 19 32766 15 58 4 90 32766 78 
54823 1998 1 29 10250 10325 10197 10 62 -28 28 43 32 0 20 32766 35 79 10 125 9 87 
54823 1998 1 30 10224 10245 10205 26 70 -18 42 57 44 0 17 32766 30 54 10 100 10 34 
54823 1998 1 31 10258 10279 10242 11 74 -42 37 60 29 0 17 32766 25 40 4 63 4 24 
54823 1998 2 1 10248 10264 10229 26 68 -8 49 67 39 0 19 32766 13 38 11 58 10 0 
54823 1998 2 2 10210 10239 10185 31 48 14 54 72 60 0 15 32766 20 40 10 85 10 0 
54823 1998 2 3 10243 10303 10186 10 39 -17 52 80 63 1 17 32766 35 71 3 106 32766 0 
54823 1998 2 4 10303 10332 10273 -12 44 -60 29 57 25 0 21 32766 23 38 13 69 15 81 
54823 1998 2 5 10228 10274 10194 24 83 -22 26 35 25 0 24 32766 30 46 13 77 11 89 
54823 1998 2 6 10141 10195 10106 51 97 23 30 36 23 0 40 32766 33 49 10 69 10 65 
54823 1998 2 7 10157 10187 10121 8 50 -28 23 37 19 0 41 32766 28 58 15 104 15 84 
54823 1998 2 8 10162 10203 10107 6 67 -52 13 21 11 0 26 32766 23 60 10 98 11 89 
54823 1998 2 9 10107 10176 10044 46 80 4 36 43 14 0 41 32766 35 59 10 108 9 86 
54823 1998 2 10 10149 10194 10080 51 106 -19 33 41 23 0 42 32766 38 81 10 129 10 86 
54823 1998 2 11 10004 10080 9966 120 165 87 52 37 24 0 87 32766 65 95 10 185 10 65 
54823 1998 2 12 10109 10140 10019 72 134 43 44 42 30 0 71 28 55 87 4 152 3 75 
54823 1998 2 13 10163 10182 10139 44 83 5 35 43 28 0 43 17 38 75 4 119 5 45 
54823 1998 2 14 10157 10186 10117 50 106 -3 28 35 14 0 42 25 20 35 5 50 5 84 
54823 1998 2 15 10110 10125 10093 81 128 43 48 43 30 0 51 19 35 66 10 108 11 81 
54823 1998 2 16 10184 10228 10125 65 119 37 48 52 23 0 43 21 40 76 4 119 3 77 
54823 1998 2 17 10249 10274 10223 38 102 -26 35 46 27 0 55 28 55 68 3 102 3 96 
54823 1998 2 18 10199 10236 10168 23 50 -3 57 79 48 63 10 0 33 75 4 117 32766 0 
54823 1998 2 19 10124 10172 10098 43 51 35 81 97 95 101 3 0 38 32766 32766 32766 32766 0 
54823 1998 2 20 10153 10193 10113 28 40 16 66 88 69 35 2 1 50 32766 32766 32766 32766 0 
54823 1998 2 21 10233 10247 10193 2 28 -10 32 51 38 0 46 32766 65 32766 32766 32766 32766 0 
54823 1998 2 22 10237 10257 10216 16 49 -10 46 66 56 32700 20 32766 38 63 3 85 3 0 
54823 1998 2 23 10190 10220 10177 35 56 8 68 86 71 7 8 1 33 32766 32766 32766 32766 0 
54823 1998 2 24 10175 10195 10155 58 104 18 57 65 40 32700 35 13 28 44 3 71 3 93 
54823 1998 2 25 10129 10166 10102 89 145 28 66 59 42 0 34 15 33 49 9 77 9 63 
54823 1998 2 26 10115 10127 10093 109 152 64 75 60 32 32700 41 26 30 51 10 79 9 80 
54823 1998 2 27 10183 10204 10127 83 128 45 53 50 27 0 39 23 30 56 1 96 1 87 
54823 1998 2 28 10229 10246 10204 74 124 22 41 42 20 0 45 18 20 39 5 63 5 99 
54823 1998 3 1 10197 10228 10167 96 152 35 41 36 20 0 50 31 25 44 12 73 9 86 
54823 1998 3 2 10165 10182 10145 109 154 73 49 38 25 0 56 22 38 61 10 102 32766 66 
54823 1998 3 3 10155 10165 10136 112 164 61 55 43 27 0 39 21 10 41 11 67 10 77 
54823 1998 3 4 10153 10167 10140 104 158 55 70 58 38 0 28 9 13 35 15 48 14 67 
54823 1998 3 5 10132 10144 10114 120 160 92 81 58 49 0 46 33 35 55 10 96 9 74 
54823 1998 3 6 10152 10177 10119 105 164 64 75 59 37 0 33 21 28 89 4 150 4 56 
