V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54161 2013 1 4 9974 10044 9918 -147 -99 -197 11 55 37 0 4 32766 48 73 11 109 11 72 
54161 2013 1 5 9941 9975 9910 -164 -109 -196 12 71 49 0 3 32766 26 70 11 108 11 72 
54161 2013 1 6 9967 9976 9961 -196 -151 -219 9 72 55 0 1 32766 18 34 11 50 12 70 
54161 2013 1 7 9955 9969 9945 -175 -104 -222 11 73 49 0 3 32766 12 25 14 39 16 62 
54161 2013 1 8 9990 10004 9964 -243 -200 -273 7 76 72 32700 0 32766 16 31 12 47 12 54 
54161 2013 1 9 9970 9985 9959 -221 -181 -257 7 67 52 0 2 32766 25 43 11 61 12 73 
54161 2013 1 10 9986 9997 9965 -212 -164 -255 8 69 50 0 2 32766 19 41 12 55 12 72 
54161 2013 1 11 9943 9995 9905 -162 -101 -232 14 77 62 34 1 32766 19 30 8 48 8 0 
54161 2013 1 12 9946 9975 9908 -188 -144 -216 11 78 68 9 0 32766 8 29 2 46 1 0 
54161 2013 1 13 9956 9993 9909 -181 -115 -256 12 75 70 32700 2 32766 13 31 9 53 10 34 
54161 2013 1 14 9985 10024 9911 -200 -126 -234 10 75 65 7 1 32766 23 31 16 55 1 0 
54161 2013 1 15 9987 10023 9961 -201 -156 -254 10 76 69 32700 1 32766 15 32 4 54 3 0 
54161 2013 1 16 10015 10037 9974 -206 -163 -232 8 69 44 4 1 32766 14 33 3 52 4 67 
54161 2013 1 17 10045 10060 10035 -206 -164 -266 9 72 61 0 2 32766 24 42 11 59 11 51 
54161 2013 1 18 9955 10035 9919 -140 -83 -182 14 65 48 0 4 32766 29 47 8 73 7 0 
54161 2013 1 19 10013 10054 9939 -220 -127 -257 9 77 71 1 1 32766 17 30 12 41 12 0 
54161 2013 1 20 10036 10069 10000 -143 -75 -230 15 72 55 0 3 32766 18 42 5 69 5 6 
54161 2013 1 21 10002 10017 9990 -152 -106 -182 14 77 59 0 1 32766 14 42 5 63 6 0 
54161 2013 1 22 9994 10021 9954 -180 -114 -240 12 74 58 0 2 32766 7 27 1 41 16 51 
54161 2013 1 23 9862 9953 9823 -118 -64 -171 19 74 52 4 3 32766 19 41 12 69 12 0 
54161 2013 1 24 9876 9894 9830 -193 -96 -213 9 65 47 14 3 32766 35 57 14 95 14 75 
54161 2013 1 25 9919 9940 9890 -245 -192 -284 5 62 48 0 1 32766 22 38 12 57 12 73 
54161 2013 1 26 9980 10002 9938 -217 -152 -272 8 68 44 0 3 32766 15 35 12 55 14 68 
54161 2013 1 27 9975 10006 9937 -190 -129 -261 8 60 36 0 3 32766 16 34 11 51 11 69 
