V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 2012 1 8 10116 10143 10101 8 40 -19 38 58 49 0 11 32766 17 39 12 55 12 0 
54823 2012 1 9 10108 10126 10087 -5 45 -33 43 73 57 0 8 32766 14 40 14 57 15 0 
54823 2012 1 10 10109 10135 10088 -2 31 -16 50 84 70 0 6 32766 18 27 15 38 15 0 
54823 2012 1 11 10162 10192 10135 -27 20 -60 21 43 24 0 18 32766 27 55 4 102 3 73 
54823 2012 1 12 10070 10137 10032 5 35 -41 27 43 32 0 14 32766 40 68 11 122 13 75 
54823 2012 1 13 10067 10087 10053 -2 60 -39 35 60 35 0 11 32766 18 27 7 35 7 57 
54823 2012 1 14 10047 10066 10036 7 57 -31 29 46 27 0 14 32766 18 28 7 40 7 37 
54823 2012 1 15 10021 10049 9995 8 64 -19 32 52 31 0 13 32766 19 26 6 35 6 38 
54823 2012 1 16 9999 10012 9981 10 72 -17 41 64 35 4 14 32766 16 48 10 70 10 0 
54823 2012 1 17 10012 10031 10002 17 31 3 62 89 85 17 5 32766 9 28 7 37 7 0 
54823 2012 1 18 10030 10043 10018 26 54 8 61 84 71 0 7 32766 12 25 5 39 4 0 
54823 2012 1 19 10058 10071 10041 21 54 5 52 74 54 0 17 32766 31 46 5 69 4 39 
54823 2012 1 20 10092 10114 10066 -8 13 -34 40 69 53 32700 16 32766 48 79 5 118 4 0 
54823 2012 1 21 10126 10140 10109 -56 -35 -68 25 62 48 2 10 32766 50 78 5 111 5 20 
54823 2012 1 22 10134 10157 10114 -74 -26 -107 15 44 16 0 11 32766 17 41 5 61 3 69 
54823 2012 1 23 10091 10127 10065 -61 -5 -90 15 41 24 0 11 32766 19 36 13 55 13 75 
54823 2012 1 24 10077 10093 10060 -49 4 -82 17 44 14 0 16 32766 28 61 15 90 14 71 
54823 2012 1 25 10047 10077 10017 -23 33 -81 13 25 15 0 21 32766 27 61 11 92 10 85 
54823 2012 1 26 10012 10037 9981 25 72 -14 25 35 24 0 25 32766 26 64 11 107 9 80 
54823 2012 1 27 10026 10047 9995 24 72 -15 34 48 32 0 25 32766 26 42 5 78 9 54 
