V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54161 1994 1 4 9922 9941 9894 -160 -121 -190 12 66 53 0 4 32766 28 60 13 32766 32766 73 
54161 1994 1 5 9902 9930 9867 -156 -98 -212 13 72 56 0 2 32766 8 30 3 32766 32766 26 
54161 1994 1 6 9909 9933 9852 -157 -124 -198 14 76 65 8 2 32766 40 70 12 32766 32766 67 
54161 1994 1 7 9889 9953 9830 -129 -55 -202 17 72 51 0 5 32766 38 57 9 32766 32766 27 
54161 1994 1 8 9843 9861 9831 -105 -62 -138 21 75 52 0 4 32766 10 23 12 32766 32766 43 
54161 1994 1 9 9901 9951 9861 -126 -69 -154 18 77 61 0 5 32766 8 30 12 32766 32766 71 
54161 1994 1 10 10012 10030 9951 -164 -124 -213 10 61 44 0 4 32766 18 37 15 32766 32766 72 
54161 1994 1 11 10005 10031 9989 -191 -156 -224 9 67 57 0 4 32766 35 53 3 32766 32766 31 
54161 1994 1 12 9976 9990 9963 -203 -171 -224 9 72 68 0 2 32766 23 40 3 32766 32766 37 
54161 1994 1 13 9973 9996 9954 -218 -186 -250 9 80 72 0 0 32766 5 27 2 32766 32766 0 
54161 1994 1 14 9924 9969 9870 -169 -107 -232 12 72 59 0 4 32766 33 47 8 32766 32766 63 
54161 1994 1 15 9834 9878 9807 -60 -5 -116 29 71 52 32700 11 32766 78 127 12 32766 32766 0 
54161 1994 1 16 9948 9986 9878 -135 -101 -156 17 77 62 0 3 32766 18 33 2 32766 32766 0 
54161 1994 1 17 9978 9992 9970 -198 -153 -234 9 72 52 0 3 32766 33 50 13 32766 32766 81 
54161 1994 1 18 9976 9988 9973 -218 -165 -261 7 63 50 0 3 32766 43 53 12 32766 32766 79 
54161 1994 1 19 9983 9997 9974 -206 -156 -249 8 66 58 0 3 32766 18 67 11 32766 32766 77 
54161 1994 1 20 9949 9982 9920 -191 -143 -238 10 69 56 0 2 32766 15 47 12 32766 32766 78 
54161 1994 1 21 9849 9920 9828 -151 -112 -180 15 73 60 32700 4 32766 33 70 11 32766 32766 48 
54161 1994 1 22 9858 9928 9805 -161 -128 -198 15 84 78 9 3 32766 40 53 16 32766 32766 24 
54161 1994 1 23 9965 9993 9928 -217 -168 -272 8 73 59 32700 3 32766 45 70 11 32766 32766 78 
