V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54161 1987 1 4 10002 10015 9989 -214 -167 -260 7 62 43 0 3 32766 20 43 8 32766 32766 70 
54161 1987 1 5 9931 9992 9891 -169 -120 -211 12 67 49 10 0 32766 13 37 5 32766 32766 0 
54161 1987 1 6 9982 10012 9926 -203 -147 -274 10 75 66 3 5 32766 18 40 8 32766 32766 59 
54161 1987 1 7 9890 9951 9873 -162 -110 -207 15 81 64 16 4 32766 38 53 8 32766 32766 64 
54161 1987 1 8 9899 9981 9824 -189 -144 -250 9 60 51 0 5 32766 43 107 12 32766 32766 56 
54161 1987 1 9 10036 10051 9981 -277 -238 -322 4 62 44 0 2 32766 13 37 16 32766 32766 73 
54161 1987 1 10 10076 10091 10045 -259 -208 -302 4 56 43 0 2 32766 10 30 10 32766 32766 72 
54161 1987 1 11 10021 10087 9984 -227 -196 -254 7 65 48 5 2 32766 28 50 2 32766 32766 0 
54161 1987 1 12 9964 9986 9952 -257 -220 -280 5 66 57 32700 0 32766 38 80 2 32766 32766 50 
54161 1987 1 13 9951 9986 9886 -277 -222 -330 4 66 56 0 4 32766 35 80 9 32766 32766 72 
54161 1987 1 14 9886 9931 9827 -167 -123 -241 12 66 52 0 4 32766 30 110 12 32766 32766 66 
54161 1987 1 15 9907 9934 9887 -102 -48 -160 19 67 56 32700 7 32766 38 60 8 32766 32766 18 
54161 1987 1 16 9857 9897 9822 -57 -30 -98 33 81 47 0 8 32766 30 63 12 32766 32766 6 
54161 1987 1 17 9912 9933 9833 -183 -100 -234 11 72 59 32700 4 32766 43 73 12 32766 32766 68 
54161 1987 1 18 9939 9954 9916 -175 -124 -216 11 68 57 0 4 32766 33 83 12 32766 32766 74 
54161 1987 1 19 9976 10001 9938 -193 -142 -237 8 62 39 0 3 32766 20 57 11 32766 32766 77 
54161 1987 1 20 9954 10001 9921 -148 -89 -209 11 54 35 0 7 32766 33 60 8 32766 32766 73 
54161 1987 1 21 9975 10007 9923 -105 -66 -152 20 71 46 32700 6 32766 20 60 8 32766 32766 67 
54161 1987 1 22 9956 10002 9925 -58 -1 -114 34 83 67 32700 4 32766 53 143 12 32766 32766 0 
54161 1987 1 23 9949 9978 9925 -149 -112 -168 14 75 63 0 4 32766 20 57 16 32766 32766 67 
54161 1987 1 24 9981 9998 9946 -183 -134 -236 10 69 55 0 2 32766 20 50 12 32766 32766 79 
54161 1987 1 25 9995 10011 9978 -175 -122 -216 12 75 59 0 3 32766 35 90 12 32766 32766 82 
54161 1987 1 26 9948 9978 9936 -123 -78 -152 18 74 61 0 5 32766 35 80 12 32766 32766 79 
54161 1987 1 27 9950 9970 9928 -107 -49 -158 21 76 60 0 7 32766 45 100 11 32766 32766 80 
54161 1987 1 28 9886 9928 9860 -52 4 -93 28 66 53 0 8 32766 50 103 11 32766 32766 77 
54161 1987 1 29 9928 10000 9861 -119 -54 -142 17 70 39 32700 7 32766 58 117 12 32766 32766 56 
54161 1987 1 30 10024 10035 10000 -195 -141 -233 9 66 52 0 4 32766 30 57 12 32766 32766 85 
54161 1987 1 31 10045 10063 10035 -185 -127 -246 9 61 48 0 4 32766 40 87 12 32766 32766 79 
54161 1987 2 1 9980 10037 9955 -144 -103 -167 12 59 45 0 5 32766 43 83 12 32766 32766 44 
